"userid";"contentid";"score"
"user5";337562;2.0
"user5";337562;2.0
"user5";337562;5.0
"user5";337562;5.0
"user5";337562;4.0
"user5";2490848;5.0
"user5";2490848;5.0
"user5";2490848;3.0
"user5";2520680;4.0
"user5";2520680;2.0
"user5";2520680;4.0
"user5";2520680;3.0
"user5";2520680;4.0
"user5";2491159;3.0
"user5";2491159;3.0
"user5";130881;4.0
"user5";130881;3.0
"user5";130881;1.0
"user5";130881;2.0
"user5";126485;5.0
"user5";126485;1.0
"user5";126485;2.0
"user5";126485;3.0
"user5";126485;3.0
"user5";141863;3.0
"user5";141863;1.0
"user5";141863;5.0
"user5";2509701;2.0
"user5";2509701;1.0
"user5";2509701;2.0
"user5";2520911;2.0
"user5";2520911;4.0
"user5";2520911;3.0
"user5";2520911;3.0
"user5";2520911;1.0
"user5";1355818;1.0
"user5";1355818;4.0
"user5";1355818;4.0
"user5";128162;1.0
"user5";128162;2.5
"user5";128162;1.0
"user5";128162;1.0
"user5";130301;5.0
"user5";130301;5.0
"user5";130301;4.0
"user5";679482;1.0
"user5";679482;5.0
"user5";679482;4.0
"user5";679482;3.0
"user5";679482;5.0
"user5";273758;4.0
"user5";273758;3.0
"user5";273758;1.0
"user5";1022231;2.0
"user5";1022231;5.0
"user5";1022231;4.0
"user5";1022231;3.5
"user5";1164746;3.0
"user5";1164746;2.5
"user5";1164746;5.0
"user5";1164746;1.0
"user5";1164746;5.0
"user5";1012036;5.0
"user5";1012036;2.0
"user5";1012036;1.0
"user5";1012036;5.0
"user5";1012036;3.0
"user5";130851;1.0
"user5";130851;1.0
"user5";130614;2.0
"user5";130614;3.0
"user5";130614;4.0
"user5";130614;2.0
"user5";130614;3.0
"user5";2520729;2.0
"user5";2520729;3.0
"user5";2520729;1.0
"user5";2520729;3.5
"user5";2520729;1.0
"user5";126513;4.0
"user5";126513;3.0
"user5";126513;5.0
"user6";1719499;4.0
"user6";1719499;2.5
"user6";1719499;5.0
"user6";333121;5.0
"user6";333121;2.0
"user6";333121;3.0
"user6";333121;3.0
"user6";333121;5.0
"user6";2520747;3.0
"user6";1180762;1.0
"user6";1180762;4.0
"user6";126943;3.0
"user6";126943;1.0
"user6";126943;3.0
"user6";126943;4.5
"user6";126943;4.0
"user6";987746;3.0
"user6";129822;5.0
"user6";129822;3.0
"user6";129822;1.0
"user6";129822;1.0
"user6";2520910;5.0
"user6";2520910;4.0
"user6";2520910;1.0
"user6";1949905;4.0
"user6";1949905;5.0
"user6";1949905;2.0
"user6";1304425;2.0
"user6";1304425;4.5
"user6";1304425;1.5
"user6";2491159;1.0
"user6";2491159;3.0
"user6";2491159;4.0
"user6";1159762;1.0
"user6";1159762;4.0
"user6";1159762;2.5
"user6";1159762;5.0
"user6";1159762;4.0
"user6";1333392;4.0
"user6";985227;4.0
"user6";130886;1.0
"user6";2434789;4.0
"user6";2434789;1.0
"user6";750927;1.0
"user6";750927;5.0
"user6";1592898;1.0
"user6";1592898;1.0
"user6";1592898;2.5
"user6";660640;5.0
"user6";660640;2.0
"user6";660640;3.0
"user6";2518701;4.0
"user6";2518701;5.0
"user6";584698;4.0
"user6";142193;2.0
"user6";142193;3.0
"user6";142193;1.0
"user6";736915;2.0
"user6";736915;3.5
"user6";736915;4.0
"user6";129500;2.0
"user6";129500;5.0
"user6";2520461;3.0
"user6";2520461;3.0
"user6";2520461;5.0
"user6";2520461;5.0
"user6";2435564;2.5
"user6";1628531;2.0
"user6";1628531;4.0
"user6";1628531;2.0
"user6";1628531;2.0
"user6";1628531;3.0
"user7";2519639;5.0
"user7";2519639;1.0
"user7";2519639;3.5
"user7";2519639;5.0
"user7";1595111;5.0
"user7";1595111;3.0
"user7";2520800;2.0
"user7";2520800;2.0
"user7";2034310;5.0
"user7";2034310;5.0
"user7";2505927;3.0
"user7";2505927;4.0
"user7";2505927;1.0
"user7";2505927;5.0
"user7";2505927;3.5
"user7";2373326;4.0
"user7";2373326;3.0
"user7";2373326;5.0
"user7";2373326;1.0
"user7";130939;4.0
"user7";130939;5.0
"user7";130939;1.0
"user7";130939;4.0
"user7";1420642;5.0
"user7";1420642;4.0
"user7";1420642;3.5
"user7";1420642;5.0
"user7";2520952;4.0
"user7";2520952;1.5
"user7";2520952;2.0
"user7";2520952;3.0
"user7";2520952;5.0
"user7";131326;4.0
"user7";131326;5.0
"user7";131326;1.0
"user7";142173;5.0
"user7";1014760;2.0
"user7";1014760;2.5
"user7";1014760;2.0
"user7";1014760;5.0
"user7";1014760;2.0
"user7";2520964;4.0
"user7";2520964;1.0
"user7";2520964;4.0
"user7";2520964;4.5
"user7";2520964;4.0
"user7";1073924;5.0
"user7";1073924;1.0
"user7";1073924;5.0
"user7";2034445;1.0
"user7";2520913;2.0
"user7";2520913;1.0
"user7";2520913;4.0
"user7";2520913;4.0
"user7";2520913;1.0
"user7";1922709;1.0
"user7";1922709;3.5
"user7";1922709;2.0
"user7";1922709;2.5
"user7";1922709;3.0
"user7";130721;2.0
"user7";130721;2.0
"user7";130721;3.0
"user7";130721;5.0
"user7";2520836;2.0
"user7";2520836;2.0
"user7";2520836;2.0
"user7";2501597;5.0
"user7";2501597;4.0
"user7";2501597;5.0
"user7";2501597;4.0
"user7";2501597;2.0
"user7";130403;3.0
"user7";130403;4.0
"user7";742972;3.0
"user7";742972;2.0
"user7";742972;5.0
"user7";2477623;1.0
"user7";2477623;2.0
"user7";2521055;5.0
"user7";2521055;2.0
"user7";2521055;3.0
"user7";2425907;3.0
"user7";2425907;3.0
"user7";2520730;5.0
"user7";2520730;1.0
"user7";2520730;3.0
"user7";2484219;4.0
"user7";2484219;1.0
"user7";2484219;3.5
"user7";2520747;2.0
"user7";126495;4.0
"user7";126495;5.0
"user7";126495;2.0
"user8";2520836;1.5
"user8";2520836;5.0
"user8";2520836;5.0
"user8";2520836;4.0
"user8";2520836;5.0
"user8";736807;3.0
"user8";736807;5.0
"user8";736807;2.0
"user8";736807;1.0
"user8";1304353;5.0
"user8";1304353;2.0
"user8";1304353;5.0
"user8";1304353;3.5
"user8";1196897;1.0
"user8";1196897;4.0
"user8";1196897;3.5
"user8";1196897;3.0
"user8";1196897;4.0
"user8";2520873;5.0
"user8";2520873;4.5
"user8";2520873;3.0
"user8";309299;5.0
"user8";309299;1.0
"user8";309299;4.0
"user8";2520909;2.0
"user8";2520909;3.0
"user8";2520909;2.0
"user8";2520909;4.0
"user8";2520909;4.0
"user8";130784;3.0
"user8";130784;1.0
"user8";130784;4.0
"user8";130784;4.0
"user8";130784;2.0
"user8";2521038;1.0
"user8";2521038;2.0
"user8";2521038;5.0
"user8";2521038;2.0
"user8";2521038;5.0
"user8";1059638;2.0
"user8";1059638;2.0
"user8";1059638;2.5
"user8";1059638;3.0
"user8";1059638;1.5
"user8";130636;2.0
"user8";130636;2.0
"user8";130636;2.0
"user8";130636;4.0
"user8";130636;1.0
"user8";397572;4.0
"user8";397572;4.0
"user8";397572;5.0
"user8";397572;3.0
"user8";2499604;2.0
"user8";2499604;5.0
"user8";969803;5.0
"user8";969803;2.0
"user8";969803;5.0
"user8";969803;2.0
"user8";2044896;5.0
"user8";2044896;1.0
"user8";2044896;4.0
"user8";2044896;2.0
"user8";2044896;5.0
"user8";131307;1.0
"user8";2521023;2.5
"user8";2521023;2.0
"user8";2521023;3.0
"user8";2521023;3.0
"user8";1013366;2.0
"user8";1013366;2.5
"user8";1013366;4.5
"user8";1019638;2.0
"user8";1019638;1.0
"user8";1116132;3.5
"user8";1116132;2.0
"user8";1116132;1.0
"user8";2520727;4.0
"user8";2520727;3.5
"user8";987584;2.0
"user8";1295827;2.0
"user8";1295827;1.0
"user8";1295827;3.0
"user8";130375;1.0
"user8";130375;3.0
"user9";1059877;4.0
"user9";1059877;3.0
"user9";1059877;3.0
"user9";1059877;5.0
"user9";1059877;2.0
"user9";132212;1.0
"user9";132212;3.0
"user9";132212;1.5
"user9";132212;4.0
"user9";132212;5.0
"user9";984724;5.0
"user9";984724;4.0
"user9";984724;1.0
"user9";984724;4.0
"user9";984724;2.0
"user9";129926;3.0
"user9";129926;3.0
"user9";2520891;1.5
"user9";2520891;2.0
"user9";2520891;4.0
"user9";984585;4.0
"user9";984585;3.0
"user9";984585;5.0
"user9";984585;2.0
"user9";984585;1.5
"user9";2426733;3.0
"user9";2426733;3.0
"user9";1074197;3.0
"user9";1074197;4.0
"user9";1074197;4.0
"user9";1574637;5.0
"user9";1574637;1.0
"user9";1574637;4.0
"user9";1574637;1.0
"user9";1364975;3.0
"user9";1364975;4.0
"user9";1364975;4.0
"user9";1364975;1.0
"user9";1364975;1.0
"user9";2521037;5.0
"user9";2521037;1.0
"user9";2521037;5.0
"user9";2521037;1.0
"user9";2521037;1.0
"user9";126511;4.0
"user9";126511;2.0
"user9";126511;5.0
"user9";2520685;4.0
"user9";2520685;2.0
"user9";2520685;1.0
"user9";2520685;2.0
"user9";2520685;3.0
"user9";1116132;3.0
"user9";1116132;5.0
"user9";1116132;1.0
"user9";1116132;5.0
"user9";252534;4.0
"user9";252534;2.5
"user9";252534;4.0
"user9";252534;1.0
"user9";2373550;5.0
"user9";2373550;3.0
"user9";2373550;5.0
"user9";2373550;1.0
"user9";2373550;4.0
"user9";2373550;4.0
"user9";126521;1.0
"user9";126521;3.0
"user9";126521;3.0
"user9";126521;4.5
"user9";2535289;2.0
"user9";2535289;4.0
"user9";2535289;1.0
"user9";2535289;2.0
"user9";126524;4.5
"user9";126524;1.0
"user9";126524;2.0
"user9";126524;1.0
"user9";126524;4.0
"user9";1030365;2.0
"user9";1030365;5.0
"user10";337422;3.0
"user10";130499;5.0
"user10";130499;4.0
"user10";2521075;5.0
"user10";2521075;3.0
"user10";2521075;4.0
"user10";1204763;2.0
"user10";1204763;5.0
"user10";1204763;5.0
"user10";2492032;3.0
"user10";2492032;2.0
"user10";2492032;1.0
"user10";2492032;3.0
"user10";2492032;4.0
"user10";2520784;1.0
"user10";2520784;2.0
"user10";1180762;3.0
"user10";2520739;4.0
"user10";2520739;2.0
"user10";1148818;5.0
"user10";1005620;3.0
"user10";2520925;4.0
"user10";1829735;1.0
"user10";1829735;4.0
"user10";1829735;3.0
"user10";713110;4.0
"user10";713110;5.0
"user10";713110;3.5
"user10";713110;5.0
"user10";126478;4.0
"user10";2521041;5.0
"user10";2521041;3.0
"user10";2521041;5.0
"user10";2521041;1.0
"user10";2521041;3.0
"user10";807619;3.0
"user10";130929;1.0
"user10";130929;3.0
"user10";130929;4.0
"user10";130929;3.0
"user10";130929;3.0
"user10";2452856;5.0
"user10";2452856;2.0
"user10";2452856;1.0
"user10";2452856;4.0
"user10";2520645;1.5
"user10";2520645;4.0
"user10";2520645;3.0
"user10";2520645;5.0
"user10";130431;5.0
"user10";130431;5.0
"user10";1042552;1.0
"user10";1825460;3.0
"user11";2520471;3.0
"user11";2520471;2.0
"user11";2520471;3.0
"user11";2520730;3.0
"user11";2520730;4.0
"user11";2520730;5.0
"user11";2520730;2.0
"user11";2520764;2.0
"user11";2520764;5.0
"user11";132492;4.0
"user11";132492;2.0
"user11";132492;2.5
"user11";1605977;5.0
"user11";1605977;4.0
"user11";1310950;4.0
"user11";1310950;3.0
"user11";1310950;5.0
"user11";1310950;3.0
"user11";1310950;4.0
"user11";2500207;4.0
"user11";2500207;3.0
"user11";2500207;4.0
"user11";2500207;4.5
"user11";2500207;2.0
"user11";126511;1.0
"user11";126511;1.5
"user11";126511;5.0
"user11";126511;4.0
"user11";2520797;2.0
"user11";2520797;2.5
"user11";2520797;5.0
"user11";2520797;1.5
"user11";679686;1.0
"user11";679686;5.0
"user11";679686;4.0
"user11";679686;1.0
"user11";126478;5.0
"user11";126478;4.0
"user11";126478;1.5
"user11";126478;2.0
"user11";126478;4.5
"user11";1521999;2.0
"user11";1521999;1.0
"user11";1521999;5.0
"user11";1521999;2.0
"user11";2470006;2.0
"user11";2470006;4.0
"user11";129902;2.0
"user11";129902;2.0
"user11";129902;3.0
"user11";129902;2.0
"user11";2524339;4.0
"user11";2524339;2.0
"user11";2524339;5.0
"user11";2524339;4.5
"user11";2524339;3.0
"user11";391643;4.0
"user11";391643;2.0
"user11";391643;4.5
"user11";391643;1.0
"user11";391643;3.5
"user11";1131275;2.0
"user11";1131275;5.0
"user11";1131275;1.5
"user11";1131275;4.0
"user11";2520968;3.5
"user11";2520968;3.0
"user11";2520968;2.0
"user11";2520968;4.0
"user11";2520968;3.0
"user11";130779;4.0
"user11";130779;2.0
"user11";130183;5.0
"user11";130183;5.0
"user11";130183;3.0
"user11";130183;3.0
"user11";130183;4.5
"user11";126489;2.0
"user11";126489;3.0
"user11";126489;2.0
"user12";753989;4.0
"user12";1847202;4.5
"user12";1847202;2.0
"user12";1847202;4.5
"user12";2520946;1.5
"user12";2520946;3.0
"user12";126914;4.0
"user12";126914;3.5
"user12";126914;3.5
"user12";126914;4.0
"user12";126914;1.0
"user12";1198901;5.0
"user12";660640;5.0
"user12";660640;3.0
"user12";660640;4.0
"user12";1602451;1.0
"user12";1602451;5.0
"user12";1602451;3.0
"user12";1602451;3.0
"user12";132502;5.0
"user12";132502;3.0
"user12";132502;3.0
"user12";2521033;2.0
"user12";2521033;2.0
"user12";2521033;2.0
"user12";2521033;1.0
"user12";2521033;5.0
"user12";2520953;1.0
"user12";2520953;3.0
"user12";128866;1.0
"user12";531238;4.0
"user12";531238;1.0
"user12";605497;1.0
"user12";605497;3.0
"user12";736766;1.0
"user12";736766;4.0
"user12";736766;4.0
"user12";736766;3.0
"user12";736766;4.0
"user12";1827189;3.0
"user12";1827189;5.0
"user12";2520657;2.0
"user12";2520657;2.0
"user12";2520657;5.0
"user12";2520657;5.0
"user12";2520657;1.0
"user12";827515;2.0
"user12";827515;2.0
"user12";827515;2.0
"user12";827515;4.0
"user12";827515;5.0
"user12";1602451;4.0
"user12";1602451;3.0
"user12";1602451;2.5
"user12";2499604;5.0
"user12";2499604;3.0
"user12";2499604;4.0
"user12";2499604;4.0
"user12";293185;5.0
"user12";293185;4.0
"user12";2300690;4.0
"user12";2300690;4.0
"user12";2300690;5.0
"user12";2488359;5.0
"user12";2488359;4.5
"user12";2488359;2.0
"user12";2488359;1.0
"user12";2520841;4.0
"user12";2520841;2.0
"user12";2520841;2.0
"user12";2520841;1.0
"user12";2520841;2.0
"user12";126485;1.0
"user12";126485;3.0
"user12";126485;4.0
"user12";126485;5.0
"user12";126485;1.0
"user12";2417697;2.0
"user12";130767;2.0
"user12";130767;2.5
"user12";1628531;1.0
"user12";1628531;2.0
"user12";1628531;2.0
"user12";1628531;3.0
"user12";1628531;3.0
"user12";1802663;2.0
"user12";1802663;4.0
"user13";127378;5.0
"user13";2508157;3.0
"user13";1059638;5.0
"user13";1059638;3.0
"user13";1059638;3.0
"user13";1059638;5.0
"user13";1059638;4.0
"user13";2520924;2.0
"user13";2520924;5.0
"user13";2520924;3.0
"user13";2520924;3.0
"user13";2520962;4.0
"user13";2520962;3.0
"user13";129931;5.0
"user13";129931;3.0
"user13";129931;1.0
"user13";129931;3.0
"user13";129931;5.0
"user13";129917;5.0
"user13";129917;5.0
"user13";129917;1.0
"user13";129917;2.0
"user13";129917;1.0
"user13";1835181;3.0
"user13";1835181;1.0
"user13";1835181;2.0
"user13";1835181;3.0
"user13";1835181;4.0
"user13";2035400;2.0
"user13";2035400;4.0
"user13";2035400;3.5
"user13";2035400;1.0
"user13";2035400;5.0
"user13";130189;4.0
"user13";1804150;2.0
"user13";1804150;4.0
"user13";1804150;4.0
"user13";1804150;5.0
"user13";1804150;3.0
"user13";129750;5.0
"user13";129750;2.0
"user13";129750;4.0
"user13";129750;3.0
"user13";2521040;1.5
"user13";2503075;3.0
"user13";2503075;3.0
"user13";2503075;2.0
"user13";2503075;5.0
"user13";2495482;1.5
"user13";2495482;1.0
"user13";2495482;5.0
"user13";131334;3.0
"user13";131334;5.0
"user13";131334;1.0
"user13";131334;4.0
"user13";131334;4.0
"user13";126494;3.0
"user13";126494;3.0
"user13";132212;3.0
"user13";132212;4.0
"user13";132212;4.0
"user13";132212;2.5
"user13";132212;2.0
"user13";130501;4.0
"user13";130501;5.0
"user13";130501;5.0
"user13";130501;5.0
"user13";130501;2.0
"user13";131519;5.0
"user13";131519;3.0
"user13";131519;3.0
"user13";1845434;4.0
"user13";1845434;3.0
"user13";2017155;3.0
"user13";2017155;1.5
"user13";2017155;3.0
"user13";2017155;4.0
"user13";2520789;5.0
"user13";2520789;1.0
"user13";2520789;3.0
"user13";665099;4.0
"user13";665099;5.0
"user13";1827190;2.0
"user13";2520724;3.0
"user13";2520724;4.0
"user13";2520724;2.0
"user13";2520724;2.0
"user13";2520724;2.0
"user13";1059479;3.5
"user13";1059479;4.0
"user13";1059479;3.0
"user13";1059479;3.0
"user13";2520990;5.0
"user13";2520990;3.0
"user14";126914;3.0
"user14";126914;3.5
"user14";126914;5.0
"user14";126914;1.0
"user14";985355;3.0
"user14";985355;1.0
"user14";985355;1.5
"user14";132216;2.0
"user14";1139131;1.0
"user14";1139131;4.0
"user14";1139131;2.5
"user14";1139131;1.0
"user14";1605036;5.0
"user14";1605036;4.0
"user14";1605036;4.0
"user14";2484219;5.0
"user14";2484219;2.0
"user14";2484219;5.0
"user14";2484219;4.0
"user14";1574637;4.0
"user14";1574637;3.0
"user14";1574637;5.0
"user14";131322;1.0
"user14";586753;2.0
"user14";586753;4.0
"user14";586753;4.5
"user14";2472687;3.0
"user14";2472687;3.0
"user14";2472687;5.0
"user14";2472687;3.0
"user14";2384290;5.0
"user14";2384290;5.0
"user14";2384290;3.0
"user14";2425907;3.0
"user14";1013076;4.0
"user14";1949905;4.0
"user14";1949905;5.0
"user14";2520994;3.0
"user14";2520994;3.0
"user14";753964;1.0
"user14";753964;4.0
"user14";753964;2.0
"user14";1020938;2.0
"user14";309307;3.0
"user14";309307;3.5
"user14";309307;1.0
"user14";309307;3.0
"user14";309307;4.0
"user14";2521018;4.5
"user14";2521018;1.0
"user14";131519;1.0
"user14";131519;5.0
"user14";131519;4.0
"user14";985062;5.0
"user14";985062;3.5
"user14";985062;4.5
"user14";1964918;3.0
"user14";1964918;2.0
"user14";1964918;3.0
"user14";1964918;2.0
"user14";1964918;4.0
"user14";2488793;1.0
"user14";2488793;3.0
"user14";131434;4.0
"user14";130932;2.0
"user14";130932;2.0
"user14";130932;2.5
"user14";130932;3.0
"user14";130932;1.0
"user14";2017154;5.0
"user14";1829696;2.0
"user14";1829696;2.5
"user14";1829696;1.0
"user14";1829696;2.0
"user14";130247;3.0
"user14";130247;5.0
"user14";130247;4.0
"user14";130247;4.0
"user14";130247;4.0
"user15";131712;3.0
"user15";131712;3.5
"user15";131712;2.0
"user15";131712;3.0
"user15";131712;1.0
"user15";2446566;4.0
"user15";2446566;1.0
"user15";2446566;2.0
"user15";2446566;4.0
"user15";130178;4.0
"user15";948730;4.5
"user15";1017547;3.0
"user15";1017547;2.0
"user15";1017547;3.0
"user15";1017547;4.0
"user15";1017547;4.0
"user15";2452842;4.0
"user15";2452842;5.0
"user15";2452842;4.0
"user15";2452842;4.0
"user15";127016;4.0
"user15";127016;1.0
"user15";127016;5.0
"user15";127016;1.0
"user15";125452;5.0
"user15";125452;1.0
"user15";125452;3.0
"user15";125452;1.5
"user15";125452;1.0
"user15";129922;4.0
"user15";987779;3.0
"user15";1017547;5.0
"user15";1017547;2.0
"user15";1912652;5.0
"user15";1912652;3.0
"user15";1912652;4.0
"user15";1605990;4.0
"user15";1605990;2.0
"user15";1605990;3.0
"user15";1605990;5.0
"user15";1605990;1.0
"user15";970052;4.0
"user15";970052;2.0
"user15";1844469;2.0
"user15";1844469;3.0
"user15";2001015;5.0
"user15";2469939;5.0
"user15";130768;5.0
"user15";130768;5.0
"user15";2433588;2.0
"user15";2433588;1.0
"user15";2433588;3.0
"user15";2433588;4.0
"user15";2386144;4.0
"user15";2386144;5.0
"user15";2386144;2.0
"user15";1835256;2.5
"user15";1835256;4.0
"user15";2518701;5.0
"user15";2518701;1.0
"user15";2518701;4.0
"user15";131912;4.0
"user15";1845410;2.5
"user15";1845410;2.0
